"index","bottlecode","wvl","abs"
913,"1190-16",511,0.0372
914,"1190-16",512,0.0371
915,"1190-16",513,0.0368
916,"1190-16",514,0.0366
917,"1190-16",515,0.0363
918,"1190-16",516,0.0361
919,"1190-16",517,0.0359
920,"1190-16",518,0.0357
921,"1190-16",519,0.0355
922,"1190-16",520,0.0353
923,"1190-16",521,0.0352
924,"1190-16",522,0.0352
925,"1190-16",523,0.0351
926,"1190-16",524,0.035
927,"1190-16",525,0.0349
928,"1190-16",526,0.0349
929,"1190-16",527,0.0348
930,"1190-16",528,0.0347
931,"1190-16",529,0.0346
932,"1190-16",530,0.0345
